CZ.Name,State,Racial.Segregation,Income.Segregation,Household.Income.per.capita,Local.Tax.Rate,Local.Government.Expenditures.Per.Capita,Labor.Force.Participation.Rate,Social.Capital.Index,Fraction.Religious
Fredericksburg,VA,0.0506488,0.0531804,41265.92,0.0227002,1840.221,0.7236366,-1.1454507,0.4155341
Baltimore,MD,0.3562437,0.13039,44194.33,0.025064,2088.159,0.6634855,-0.0808119,0.4424452
Colonial Beach,VA,0.0459143,0.0093083,39561.48,0.0161093,1583.198,0.5286176,0.9700109,0.4365205
Washington DC,DC,0.2713125,0.1273134,53705.7,0.0368177,3565.878,0.7136483,-0.74805624,0.4605464
Marquette,MI,0.088316,0.0372097,32535.28,0.0245232,2235.952,0.602839,0.69731713,0.6328382
Marinette,MI,0.0514404,0.0151868,34016.26,0.0258122,2298.926,0.6055371,1.0646103,0.6822512
Sault Ste. Marie,MI,0.1159541,0.0147579,26896.28,0.0296589,2279.324,0.5354053,-0.00983226,0.3522518
Jackson,MI,0.2098882,0.0513102,36187.98,0.0215603,1937.266,0.6338816,-0.01407002,0.3498366
Detroit,MI,0.4741935,0.1198831,44744.51,0.028691,2629.441,0.6460731,-0.26304618,0.4082595
Lansing,MI,0.1636047,0.0801454,37719.36,0.0291342,2772.669,0.6893513,1.0481735,0.3754623
Mount Pleasant,MI,0.1060235,0.0349599,27945.19,0.0248127,1879.51,0.6015661,-0.16391023,0.2819239
Saginaw,MI,0.3249172,0.0561162,36937.96,0.0262146,2118.32,0.6131753,0.54395937,0.5037183
Big Rapids,MI,0.1194036,0.021838,30109.23,0.029329,1750.918,0.6028371,0.06802771,0.3258445
Ludington,MI,0.063437,0.0198812,33399.83,0.0345051,2207.448,0.5890107,1.0413504,0.4469612
Kalamazoo,MI,0.1834902,0.0635368,36930.98,0.0249936,2148.948,0.6668507,0.29167047,0.3250197
Grand Rapids,MI,0.2562207,0.0657615,37482.85,0.0261067,2328.323,0.6821728,0.50531028,0.4688662
Traverse City,MI,0.036123,0.0336644,39702.8,0.0336502,2555.172,0.6542373,0.89950873,0.3795807
Petoskey,MI,0.0214668,0.0305692,37710.97,0.0379696,2362.943,0.6325046,0.93272659,0.4160643
Alpena,MI,0.0188376,0.011943,34474.02,0.028069,2343.735,0.5299772,0.71523398,0.5718599
Grayling charter,MI,0.0367729,0.026983300000000002,34359.56,0.0342864,1681.342,0.5317361,0.60620541,0.3506957
Dayton,OH,0.3554391,0.0795336,39001.59,0.0245251,2162.106,0.6532528,0.4750951,0.3981903
Washington Court House,OH,0.0664012,0.0190869,32902.86,0.0185791,1849.699,0.6535788,0.21009511,0.3175028
Wayne,IN,0.1195277,0.0383036,34114.91,0.0219598,2148.263,0.6428118,0.88697241,0.4167099
Cincinnati,OH,0.3488255,0.1101949,42062.96,0.0237272,2174.133,0.6667255,0.38815125,0.4439932
Maysville,KY,0.1236606,0.0265816,27372.05,0.0131548,1613.37,0.5852117,-0.16230177,0.5234786
Washington,IN,0.0478078,0.038976,35834.52,0.0161566,1944.166,0.6786573,0.35951508,0.5346724
Lexington-Fayette,KY,0.1701666,0.0824006,36577.01,0.0190519,1527.216,0.677303,0.30444061,0.5138601
Mount Sterling,KY,0.0767791,0.0196472,28067.29,0.0103067,1229.728,0.571108,-1.1319461,0.3417092
Danville,KY,0.0895608,0.0274757,30745.68,0.0124542,1239.017,0.6034337,-0.02643317,0.6926743
Elizabethtown,KY,0.156021,0.0265377,29945.48,0.0106804,1516.747,0.6392822,-1.308679,0.526351
Louisville,KY,0.3111657,0.1037037,39192.27,0.0192285,1833.107,0.6600483,0.38779515,0.5286005
Madison,IN,0.0324514,0.0115471,31204.81,0.0178016,2190.31,0.6438226,0.46170848,0.5039312
Bardstown,KY,0.092382,0.0217714,30725.82,0.011346,1284.396,0.6279865,0.47548634,0.7678703
Owensboro,KY,0.1172062,0.0493031,31538.42,0.0130853,2194.299,0.602312,0.47339043,0.697889
Findlay,OH,0.0888933,0.032108,34868.53,0.0202733,1698.646,0.6664443,1.1056925,0.5230007
Lima,OH,0.2516574,0.0477593,35091.95,0.019917,1858.676,0.651948,1.4140219,0.6293449
Toledo,OH,0.2903748,0.0783884,38616.42,0.0287353,2127.781,0.6594473,0.44224635,0.5125542
Defiance,OH,0.0807299,0.015488,35188.03,0.0204248,1798.479,0.6787722,0.92943072,0.5196755
South Bend,IN,0.2641505,0.0668398,36189.45,0.0201305,1861.855,0.6488307,0.06477343,0.4236395
Concord,IN,0.1761856,0.0270606,35487.25,0.0211703,2052.246,0.6864903,-0.0433257,0.3599859
Wayne,IN,0.0561148,0.0199301,35790.42,0.0208889,2006.887,0.6785238,0.55571606,0.4035189
Center,IN,0.1501622,0.0455711,37701.09,0.0203122,2568.759,0.6319215,0.8540992,0.4477921
Muncie,IN,0.2160865,0.0618862,34883.79,0.0185724,1857.961,0.6207673,0.65380454,0.3519581
Fort Wayne,IN,0.2896599,0.0751769,38528.86,0.017984,1813.625,0.7007153,0.90122138,0.4862167
Indianapolis,IN,0.332802,0.1066178,42510.4,0.0228262,2518.619,0.6990142,0.68993056,0.4084397
Columbus,IN,0.0769708,0.0484698,35466.15,0.020324,2589.884,0.6712245,0.53503453,0.4997612
Terre Haute,IN,0.1548212,0.0421891,31381.55,0.0202231,1875.188,0.6103229,0.61133932,0.3660477
Lafayette,IN,0.2091898,0.0721744,32344.94,0.0198862,1719.245,0.643731,0.4349827,0.3928171
Bloomington,IN,0.1052984,0.0632553,30524.54,0.018237,1619.914,0.6341908,0.04287763,0.4022241
Evansville,IN,0.2101122,0.0698304,36908.45,0.0213866,2022.29,0.6672253,1.290116,0.5089731
Olney,IL,0.0157214,0.0146803,31874.81,0.013068,2253.758,0.6029137,1.5623342,0.6256425
Vincennes,IN,0.0611815,0.0337718,30101.04,0.0136808,2268.44,0.6271399,0.68689902,0.4952292
Gary,IN,0.443826,0.0803924,38097.23,0.0236861,2257.898,0.636884,-0.22890655,0.4389937
Canton,OH,0.1980847,0.0538796,35700.41,0.0212141,1768.411,0.6417098,0.97667859,0.4930871
Lorain,OH,0.2069804,0.0635181,38660.34,0.0250772,2043.512,0.6483143,0.6989853,0.4781096
Cleveland,OH,0.4462685,0.1147665,42208.22,0.0314587,2676.955,0.647639,0.45513323,0.5176522
Parkersburg,WV,0.0437661,0.0280329,32372.13,0.0170217,1826.205,0.5823193,0.33269562,0.3984392
Zanesville,OH,0.114728,0.0274137,30313.43,0.0186382,1635.125,0.6027536,0.5759019,0.3532827
Steubenville,OH,0.1835821,0.0301017,32010.13,0.0199041,1512.31,0.5463287,0.89263907,0.4477229
Wheeling,WV,0.1510267,0.0353017,31110.62,0.0171605,1663.79,0.5461011,0.79005949,0.509602
Scioto,OH,0.1600395,0.0268342,28948.98,0.0187142,1577.465,0.5453815,0.10478252,0.2531704
Athens,OH,0.0579739,0.0303939,24643.12,0.0241015,1710.308,0.5494248,-0.3280824,0.250736
Columbus,OH,0.2687649,0.1215471,40285.63,0.0292346,2301.418,0.6924927,0.60977623,0.3634748
Mansfield,OH,0.2310767,0.0409369,33186.45,0.0221188,1713.348,0.6220666,0.99169705,0.3951457
State College,PA,0.194962,0.05499,28923.48,0.0199611,1366.915,0.5824722,0.29463663,0.4639604
Altoona,PA,0.1627638,0.0380664,30391.74,0.0178091,1549.563,0.5697566,0.938268,0.6495098
Pittsburgh,PA,0.3232418,0.0805845,38685.65,0.0254934,2244.079,0.5990268,0.60375227,0.6508017
Youngstown,OH,0.3382691,0.059949,34807.59,0.0187172,1645.264,0.5891926,0.9058101,0.5485191
Erie,PA,0.2104349,0.0496277,31989.46,0.0240697,2011.188,0.6105242,0.69414469,0.5207905
Roanoke,VA,0.2251579,0.0656965,34410.96,0.021773,1631.559,0.620333,-0.19588271,0.4580525
Elkins,WV,0.049625,0.0091137,26301.58,0.0092047,1400.296,0.5392085,-0.34239847,0.357054
Morgantown,WV,0.107982,0.0518519,28593.01,0.0150826,1640.689,0.5642387,0.37172124,0.3700979
Buckhannon,WV,0.0415948,0.0112795,25061.54,0.0138345,1220.853,0.5320786,-0.14107893,0.3116336
Beckley,WV,0.1211147,0.0147877,28130.66,0.0117973,1316.731,0.4903539,-0.86198705,0.3029825
Summersville,WV,0.0430547,0.0105592,25661.77,0.0122963,1483.196,0.486349,-0.59301886,0.3220508
Charleston,WV,0.1770377,0.056624,34109.07,0.0159109,1531.505,0.5533842,-0.08654556,0.2999352
Spencer,WV,0.0111671,0.007175,23337.15,0.0109537,1333.449,0.4908824,-0.6506807,0.2467865
Pikeville,KY,0.1030935,0.0167024,23076.34,0.0112204,1240.166,0.435328,-1.3470018,0.3309307
Huntington,KY,0.1435316,0.042505,29100.75,0.0137505,1448.407,0.5412908,-0.40364815,0.3704658
Harrisonburg,VA,0.1073524,0.0340302,31024.63,0.018449,1501,0.6414608,-0.3850533,0.4653146
Staunton,VA,0.0792714,0.0305326,34674.18,0.020434,1464.708,0.6070958,-0.19975061,0.4918461
Hagerstown,PA,0.1643108,0.0353867,34828.66,0.0156519,1511.904,0.6329535,-0.25633191,0.3907303
Cumberland,MD,0.149041,0.0237114,29146.75,0.0176922,1839.529,0.566462,0.03805874,0.4906624
